hostname,ip_address,serial_number,site_name,device_model,installed_date
dist-fw-030,10.132.172.154,SN0030,SF Branch,ISR4431,2022-11-30
access-rtr-031,10.210.243.238,SN0031,NYC Data Center,ISR4431,2023-09-30
dist-sw-032,10.10.181.103,SN0032,Dallas Core,ISR4431,2024-09-01
core-rtr-033,10.138.123.212,SN0033,SF Branch,MX480,2023-06-23
core-rtr-034,10.115.113.92,SN0034,Chicago Office,MX480,2022-11-30
edge-fw-035,10.105.56.84,SN0035,LA Hub,ISR4431,2024-09-13
agg-fw-036,10.252.90.4,SN0036,LA Hub,SRX300,2021-01-02
edge-sw-037,10.92.1.139,SN0037,Dallas Core,WS-C2960X,2022-08-10
dist-sw-038,10.87.215.190,SN0038,Dallas Core,ISR4431,2024-12-01
agg-fw-039,10.184.176.29,SN0039,Dallas Core,ISR4431,2023-11-04
access-fw-040,10.199.116.126,SN0040,SF Branch,ISR4431,2023-03-29
access-sw-041,10.69.201.212,SN0041,Dallas Core,MX480,2021-08-17
core-rtr-042,10.25.21.197,SN0042,Dallas Core,ISR4431,2022-06-02
core-fw-043,10.47.155.47,SN0043,Dallas Core,MX480,2022-01-30
edge-sw-044,10.93.60.76,SN0044,Dallas Core,ASR1001,2021-07-11
dist-fw-045,10.131.74.224,SN0045,Chicago Office,ISR4431,2022-08-17
access-sw-046,10.222.7.47,SN0046,LA Hub,ASR1001,2023-01-07
dist-rtr-047,10.245.181.158,SN0047,NYC Data Center,ASR1001,2024-10-29
agg-rtr-048,10.206.32.49,SN0048,SF Branch,MX480,2021-07-22
access-sw-049,10.179.232.96,SN0049,LA Hub,ASR1001,2021-07-06
core-sw-050,10.175.4.46,SN0050,Dallas Core,ASR1001,2024-08-31
agg-rtr-051,10.207.166.240,SN0051,SF Branch,MX480,2021-10-28
agg-rtr-052,10.211.242.72,SN0052,Dallas Core,MX480,2024-07-22
core-sw-053,10.116.27.197,SN0053,NYC Data Center,MX480,2022-07-24
access-rtr-054,10.5.98.19,SN0054,NYC Data Center,ASR1001,2024-08-21
agg-sw-055,10.83.17.200,SN0055,Chicago Office,ISR4431,2022-01-25
core-sw-056,10.165.36.230,SN0056,NYC Data Center,WS-C2960X,2023-04-16
dist-rtr-057,10.245.72.208,SN0057,NYC Data Center,SRX300,2023-05-20
edge-rtr-058,10.168.114.107,SN0058,NYC Data Center,ASR1001,2023-05-17
dist-sw-059,10.212.200.54,SN0059,SF Branch,SRX300,2023-05-06
agg-rtr-060,10.247.120.10,SN0060,LA Hub,WS-C2960X,2022-03-16
access-fw-061,10.53.39.175,SN0061,Dallas Core,MX480,2021-03-16
core-fw-062,10.39.89.122,SN0062,LA Hub,WS-C2960X,2024-02-11
agg-sw-063,10.197.185.30,SN0063,NYC Data Center,ISR4431,2021-07-23
core-sw-064,10.98.162.93,SN0064,SF Branch,MX480,2023-03-14
agg-fw-065,10.163.69.29,SN0065,Dallas Core,SRX300,2022-02-22
dist-sw-066,10.187.152.125,SN0066,LA Hub,ASR1001,2023-12-04
access-fw-067,10.161.69.113,SN0067,SF Branch,WS-C2960X,2023-11-30
edge-fw-068,10.122.228.221,SN0068,Chicago Office,WS-C2960X,2021-05-13
edge-fw-069,10.220.85.42,SN0069,Chicago Office,WS-C2960X,2022-05-23
dist-fw-070,10.187.44.253,SN0070,Chicago Office,SRX300,2021-07-07
edge-fw-071,10.121.22.243,SN0071,SF Branch,WS-C2960X,2023-10-15
edge-sw-072,10.65.202.3,SN0072,SF Branch,SRX300,2023-06-12
access-sw-073,10.113.106.206,SN0073,NYC Data Center,ASR1001,2022-09-25
agg-sw-074,10.123.55.69,SN0074,Dallas Core,SRX300,2024-04-06
access-sw-075,10.210.55.168,SN0075,SF Branch,MX480,2024-05-30
agg-rtr-076,10.58.57.249,SN0076,Chicago Office,ISR4431,2022-09-21
agg-sw-077,10.233.68.136,SN0077,SF Branch,MX480,2021-02-08
edge-fw-078,10.140.224.231,SN0078,NYC Data Center,SRX300,2022-03-20
core-rtr-079,10.123.13.252,SN0079,NYC Data Center,ISR4431,2021-10-09
agg-sw-080,10.171.58.127,SN0080,Chicago Office,ASR1001,2021-07-19
access-sw-081,10.177.237.62,SN0081,LA Hub,ISR4431,2023-02-23
dist-sw-082,10.55.87.206,SN0082,LA Hub,SRX300,2021-09-06
edge-sw-083,10.172.123.57,SN0083,LA Hub,ISR4431,2023-05-27
dist-sw-084,10.23.126.166,SN0084,LA Hub,MX480,2021-02-28
access-rtr-085,10.250.170.183,SN0085,Chicago Office,WS-C2960X,2022-03-29
edge-sw-086,10.226.186.28,SN0086,SF Branch,SRX300,2023-09-01
agg-rtr-087,10.64.27.105,SN0087,Chicago Office,ISR4431,2021-05-10
dist-rtr-088,10.254.38.64,SN0088,SF Branch,SRX300,2024-08-19
dist-rtr-089,10.149.140.193,SN0089,LA Hub,SRX300,2024-01-28
core-rtr-090,10.52.144.129,SN0090,LA Hub,WS-C2960X,2023-02-25
dist-sw-091,10.177.222.139,SN0091,SF Branch,ISR4431,2022-03-19
dist-fw-092,10.85.85.53,SN0092,SF Branch,WS-C2960X,2024-12-26
dist-sw-093,10.34.164.226,SN0093,Chicago Office,SRX300,2022-09-05
access-rtr-094,10.193.239.231,SN0094,Chicago Office,WS-C2960X,2024-05-08
dist-rtr-095,10.151.143.125,SN0095,NYC Data Center,ASR1001,2024-09-14
agg-sw-096,10.168.24.209,SN0096,Dallas Core,WS-C2960X,2021-04-12
access-sw-097,10.206.106.200,SN0097,SF Branch,ISR4431,2021-11-29
agg-fw-098,10.78.205.241,SN0098,NYC Data Center,ASR1001,2021-12-18
access-rtr-099,10.52.69.158,SN0099,Dallas Core,ASR1001,2024-07-30
